               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11908,            0.029637,            0.044167,           0.0021312,            0.053419,           0.0013188,          0.00018994,            0.073423,            0.027897,            0.028427,              0.0982,              0.0002,              0.0002
                   1,             0.10487,            0.030153,            0.037026,           0.0024891,             0.13248,           0.0018238,           0.0003176,            0.069298,            0.027198,            0.028226,             0.09549,           0.0004901,           0.0004901
                   2,            0.097178,            0.029108,            0.038824,           0.0019314,              0.1047,           0.0014715,          0.00041496,            0.062239,            0.026881,            0.028035,            0.092768,          0.00076832,          0.00076832
                   3,            0.093929,            0.030448,            0.037203,           0.0024428,             0.15598,           0.0020593,          0.00039406,            0.054982,            0.026428,            0.027719,            0.090035,           0.0010347,           0.0010347
                   4,            0.084525,             0.03086,            0.037463,           0.0030378,             0.26282,           0.0047978,           0.0011251,            0.050532,            0.025619,            0.027105,            0.087289,           0.0012891,           0.0012891
                   5,            0.087512,            0.028699,            0.037516,            0.003084,             0.26282,            0.028755,           0.0085824,             0.04855,            0.025812,            0.026628,            0.084532,           0.0015317,           0.0015317
                   6,            0.080288,             0.02802,            0.040377,           0.0027629,             0.26068,            0.036913,           0.0083343,            0.047445,            0.025948,            0.025531,            0.081762,           0.0017624,           0.0017624
                   7,            0.093673,            0.032318,            0.038122,           0.0031714,             0.34188,            0.051558,             0.01515,            0.046146,            0.025602,            0.025227,            0.078981,           0.0019812,           0.0019812
                   8,            0.068415,            0.029424,            0.034519,           0.0032266,             0.44872,            0.027806,           0.0077821,             0.04413,            0.025064,            0.024904,            0.076188,           0.0021882,           0.0021882
                   9,            0.067478,            0.030495,            0.033115,            0.003187,             0.44658,            0.026276,           0.0076052,            0.042464,            0.024837,            0.024555,            0.073383,           0.0023832,           0.0023832
                  10,             0.07129,            0.028233,            0.031861,           0.0032453,             0.52564,            0.031389,           0.0096971,            0.040456,            0.023728,            0.023939,            0.070566,           0.0025664,           0.0025664
                  11,            0.075277,            0.028484,            0.035438,           0.0032312,             0.55128,            0.057119,            0.014713,            0.038469,            0.022813,            0.024058,            0.067738,           0.0027377,           0.0027377
                  12,            0.068527,            0.030245,             0.03435,           0.0033794,             0.80769,             0.12132,            0.047368,            0.047231,            0.019021,             0.02393,            0.064897,           0.0028971,           0.0028971
                  13,            0.073882,            0.033369,            0.034637,            0.003371,             0.70513,             0.05954,            0.011867,            0.052469,            0.017852,            0.024112,            0.062045,           0.0030447,           0.0030447
