epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.785,3.20809,4.1642,4.22858,0.00357,0.84787,0.02119,0.00467,2.92125,4.24669,4.14602,0.00034296,0.00034296,0.00034296
2,273.517,3.03463,3.91538,4.02276,0.00252,0.68902,0.0122,0.00323,2.90512,4.15906,4.1038,0.000696744,0.000696744,0.000696744
3,424.317,2.73184,3.65226,3.60935,0.00364,0.71778,0.02199,0.00626,2.80372,3.97992,3.9094,0.00104699,0.00104699,0.00104699
4,567.318,2.55412,3.4082,3.31219,0.02053,0.3936,0.04056,0.01161,2.4881,8.88503,3.75777,0.0013937,0.0013937,0.0013937
5,736.284,2.44037,3.21615,3.1715,0.02739,0.36238,0.03183,0.00974,2.59327,6.17296,3.74145,0.00140071,0.00140071,0.00140071
6,887.087,2.4337,3.18238,3.0827,0.05721,0.17393,0.05411,0.01611,2.2806,8.15225,3.21281,0.00139363,0.00139363,0.00139363
7,1044.93,2.36253,3.05268,2.99016,0.05637,0.07266,0.04047,0.01283,2.42936,3.59585,3.35843,0.00138656,0.00138656,0.00138656
8,1185.9,2.28124,2.9366,2.91297,0.09119,0.40961,0.09963,0.03462,2.26848,3.63408,3.04712,0.00137949,0.00137949,0.00137949
9,1355.77,2.20728,2.80688,2.81584,0.14098,0.49161,0.21128,0.0863,1.93717,2.91206,2.66192,0.00137241,0.00137241,0.00137241
10,1502.7,2.16169,2.75649,2.75082,0.22922,0.67284,0.33761,0.13416,1.88881,2.52295,2.56281,0.00136534,0.00136534,0.00136534
11,1660.52,2.12739,2.62995,2.70867,0.09172,0.4369,0.11576,0.03236,2.1725,3.60771,3.05861,0.00135826,0.00135826,0.00135826
12,1835,2.09542,2.55714,2.64093,0.22775,0.54164,0.32641,0.14055,1.74057,3.71099,2.46717,0.00135119,0.00135119,0.00135119
13,1996.99,2.10293,2.48384,2.60579,0.27698,0.73088,0.38356,0.1606,1.70054,3.2346,2.38834,0.00134412,0.00134412,0.00134412
14,2155.44,1.96009,2.38955,2.50811,0.2152,0.65584,0.36145,0.16938,1.64992,2.3813,2.35911,0.00133704,0.00133704,0.00133704
15,2302.69,1.94666,2.41073,2.46557,0.46449,0.68511,0.49948,0.23863,1.70446,2.08876,2.41499,0.00132997,0.00132997,0.00132997
16,2503.13,1.94402,2.32071,2.47806,0.23952,0.84014,0.44436,0.20409,1.67909,2.74937,2.44797,0.0013229,0.0013229,0.0013229
17,2643.82,1.87523,2.21104,2.41085,0.66426,0.44363,0.52291,0.26884,1.50417,2.17932,2.21413,0.00131582,0.00131582,0.00131582
18,2798.18,1.85732,2.21934,2.36148,0.36613,0.705,0.50388,0.23934,1.71982,1.9055,2.36816,0.00130875,0.00130875,0.00130875
19,2930.31,1.7743,2.15567,2.30679,0.40057,0.53748,0.45784,0.23217,1.68024,2.0335,2.43042,0.00130168,0.00130168,0.00130168
20,3079,1.78527,2.13078,2.28621,0.29257,0.78806,0.55104,0.30452,1.47407,2.07741,2.15133,0.0012946,0.0012946,0.0012946
21,3217.8,1.78317,2.13723,2.28427,0.4515,0.13034,0.13677,0.05143,2.24962,2.83641,2.92855,0.00128753,0.00128753,0.00128753
22,3369.79,1.72451,2.06087,2.26325,0.52291,0.69411,0.64741,0.32899,1.55921,1.72994,2.19024,0.00128046,0.00128046,0.00128046
23,3512.59,1.72277,2.03297,2.23137,0.47982,0.52356,0.46751,0.24293,1.65258,2.15026,2.35099,0.00127338,0.00127338,0.00127338
24,3659.16,1.67382,1.99557,2.194,0.49482,0.72406,0.67667,0.32154,1.60942,1.89484,2.29151,0.00126631,0.00126631,0.00126631
25,3804.09,1.65231,1.95738,2.16204,0.69327,0.6585,0.7704,0.43912,1.44723,1.54964,2.14488,0.00125923,0.00125923,0.00125923
26,3992.81,1.6282,1.9201,2.13845,0.39526,0.75911,0.68509,0.35488,1.6116,2.32977,2.20336,0.00125216,0.00125216,0.00125216
27,4244.19,1.59997,1.89277,2.12161,0.79587,0.51141,0.80795,0.46567,1.40239,1.6372,2.0472,0.00124509,0.00124509,0.00124509
28,4509.94,1.66109,1.81503,2.14144,0.8004,0.76864,0.85746,0.48638,1.43739,1.43906,2.06406,0.00123801,0.00123801,0.00123801
29,4781.13,1.61478,1.83172,2.14066,0.44322,0.48744,0.38644,0.17589,1.88487,2.37172,2.53305,0.00123094,0.00123094,0.00123094
30,4991.36,1.57915,1.78962,2.0776,0.51626,0.71887,0.71246,0.37574,1.45859,2.27455,2.10812,0.00122387,0.00122387,0.00122387
31,5459.15,1.61324,1.79346,2.12015,0.45562,0.55265,0.49171,0.21976,1.87827,1.93428,2.47005,0.00121679,0.00121679,0.00121679
32,5721.03,1.55821,1.76619,2.05606,0.77464,0.81777,0.86148,0.50544,1.36317,1.34973,2.0451,0.00120972,0.00120972,0.00120972
33,5988.26,1.5184,1.72976,2.04391,0.80734,0.81923,0.87199,0.53781,1.33383,1.22637,1.96489,0.00120265,0.00120265,0.00120265
34,6206.99,1.55027,1.70001,2.06548,0.72451,0.79624,0.88222,0.49851,1.43304,1.3381,2.0716,0.00119557,0.00119557,0.00119557
35,6414.63,1.52385,1.69974,2.02324,0.76615,0.76292,0.87069,0.50704,1.36173,1.31124,2.00339,0.0011885,0.0011885,0.0011885
36,6606.43,1.49824,1.64029,1.98867,0.69157,0.67642,0.71616,0.43707,1.37415,1.59159,2.14147,0.00118143,0.00118143,0.00118143
37,6801.87,1.50148,1.65375,2.00885,0.80437,0.81181,0.87639,0.53226,1.3237,1.41199,1.93652,0.00117435,0.00117435,0.00117435
38,7005.85,1.55672,1.66184,2.02928,0.62862,0.68264,0.70583,0.38667,1.42936,1.65112,2.04304,0.00116728,0.00116728,0.00116728
39,7210.42,1.50425,1.59701,2.00069,0.75691,0.77993,0.86105,0.54414,1.22898,1.2603,1.84408,0.00116021,0.00116021,0.00116021
40,7420.75,1.49007,1.57522,1.93954,0.77934,0.81058,0.86074,0.52149,1.30124,1.19425,1.97883,0.00115313,0.00115313,0.00115313
41,7647.98,1.49448,1.60163,1.95864,0.49044,0.52773,0.45384,0.19997,1.88258,2.22898,2.49373,0.00114606,0.00114606,0.00114606
42,7899.92,1.46712,1.57026,1.95057,0.76435,0.84972,0.92238,0.55469,1.31053,1.14816,1.92487,0.00113898,0.00113898,0.00113898
43,8160.54,1.45847,1.55071,1.9702,0.45881,0.63378,0.53347,0.2427,1.73878,1.85167,2.4265,0.00113191,0.00113191,0.00113191
44,8420.56,1.50298,1.55683,1.96121,0.86644,0.86038,0.91969,0.52728,1.43476,1.09308,2.02937,0.00112484,0.00112484,0.00112484
45,8664.36,1.40164,1.48176,1.88657,0.79249,0.82172,0.87304,0.51916,1.36618,1.25416,1.91827,0.00111776,0.00111776,0.00111776
46,8908.14,1.42132,1.46191,1.89373,0.90535,0.85472,0.94159,0.6204,1.20702,0.95105,1.82965,0.00111069,0.00111069,0.00111069
47,9143.67,1.41351,1.48244,1.91557,0.82123,0.85445,0.89188,0.55578,1.28939,1.11237,1.90267,0.00110362,0.00110362,0.00110362
48,9384.18,1.39546,1.45675,1.86932,0.76265,0.71468,0.84232,0.51163,1.29908,1.49177,1.90447,0.00109654,0.00109654,0.00109654
49,9655.14,1.384,1.45242,1.86217,0.82198,0.84453,0.91721,0.58213,1.19202,1.03516,1.83398,0.00108947,0.00108947,0.00108947
50,9934.25,1.37215,1.4038,1.82932,0.82557,0.86621,0.90114,0.53138,1.32153,1.10421,1.92096,0.0010824,0.0010824,0.0010824
51,10267.5,1.38444,1.40347,1.85681,0.9149,0.82426,0.93571,0.60395,1.23513,1.00369,1.81881,0.00107532,0.00107532,0.00107532
52,10553.5,1.41516,1.40971,1.87022,0.93058,0.84489,0.96883,0.64256,1.1525,0.91456,1.8009,0.00106825,0.00106825,0.00106825
53,10822.9,1.32312,1.35459,1.80916,0.90361,0.91855,0.96165,0.64729,1.15188,0.89211,1.77296,0.00106118,0.00106118,0.00106118
54,11088,1.38756,1.42433,1.87073,0.83926,0.86529,0.91358,0.59569,1.18724,1.00489,1.83462,0.0010541,0.0010541,0.0010541
55,11355.4,1.34258,1.36744,1.82582,0.38468,0.28367,0.24184,0.07352,2.38916,3.2497,3.15403,0.00104703,0.00104703,0.00104703
56,11647.3,1.3213,1.36679,1.79812,0.87018,0.89141,0.94936,0.63243,1.10963,0.89203,1.74293,0.00103995,0.00103995,0.00103995
57,11936.8,1.32763,1.33829,1.7778,0.86527,0.82217,0.92715,0.60344,1.20026,1.03135,1.78127,0.00103288,0.00103288,0.00103288
58,12240.6,1.34371,1.32646,1.80668,0.86473,0.79784,0.93004,0.60395,1.16557,1.02517,1.80388,0.00102581,0.00102581,0.00102581
59,12543.5,1.32544,1.33791,1.79205,0.9082,0.92311,0.95622,0.6609,1.09705,0.84394,1.73712,0.00101873,0.00101873,0.00101873
60,12850.7,1.31765,1.31322,1.77835,0.82369,0.92785,0.96921,0.63484,1.205,0.86439,1.75188,0.00101166,0.00101166,0.00101166
61,13069,1.28399,1.28302,1.78995,0.90278,0.86738,0.94886,0.61765,1.19851,0.93143,1.73669,0.00100459,0.00100459,0.00100459
62,13242.5,1.38749,1.31731,1.83646,0.79746,0.75806,0.85022,0.46592,1.53412,1.20241,2.10699,0.000997513,0.000997513,0.000997513
63,13391.6,1.34176,1.32083,1.79667,0.88166,0.88147,0.94578,0.61168,1.16682,0.92604,1.78979,0.00099044,0.00099044,0.00099044
64,13538.5,1.33673,1.29114,1.78195,0.72879,0.63643,0.73093,0.40234,1.52524,1.3878,2.07,0.000983366,0.000983366,0.000983366
65,13690.5,1.27615,1.26959,1.74592,0.81359,0.86434,0.94282,0.64455,1.08217,0.94179,1.67927,0.000976293,0.000976293,0.000976293
66,13849.8,1.28011,1.22383,1.74481,0.87928,0.8632,0.91837,0.61911,1.13981,0.92537,1.76705,0.000969219,0.000969219,0.000969219
67,14027.5,1.28168,1.26339,1.73583,0.85209,0.92142,0.96741,0.61164,1.18906,0.85135,1.80905,0.000962146,0.000962146,0.000962146
68,14202.4,1.28428,1.21335,1.7419,0.90721,0.94675,0.96939,0.6644,1.06878,0.8017,1.68157,0.000955072,0.000955072,0.000955072
69,14379,1.28618,1.27621,1.76656,0.4062,0.29357,0.28877,0.14406,1.93428,2.95749,2.67271,0.000947999,0.000947999,0.000947999
70,14551.7,1.23007,1.21641,1.69792,0.88458,0.92347,0.95621,0.65811,1.06378,0.85364,1.66582,0.000940925,0.000940925,0.000940925
71,14736.4,1.29573,1.24622,1.7425,0.94367,0.94241,0.97235,0.67294,1.07227,0.74833,1.64936,0.000933851,0.000933851,0.000933851
72,14928.7,1.26201,1.20781,1.70409,0.96913,0.95391,0.97755,0.6714,1.06331,0.74205,1.66922,0.000926778,0.000926778,0.000926778
73,15130.2,1.28327,1.23326,1.74684,0.91338,0.89943,0.95462,0.63233,1.13389,0.81253,1.71133,0.000919704,0.000919704,0.000919704
74,15332.7,1.24976,1.1899,1.73451,0.91988,0.95711,0.97819,0.66079,1.10182,0.77326,1.70073,0.000912631,0.000912631,0.000912631
75,15538.2,1.23563,1.17412,1.68625,0.90684,0.92313,0.96814,0.68019,1.02312,0.81794,1.60649,0.000905557,0.000905557,0.000905557
76,15751.5,1.24807,1.21612,1.72933,0.94011,0.93927,0.97325,0.68262,1.03537,0.7216,1.63375,0.000898484,0.000898484,0.000898484
77,15965.6,1.2355,1.16866,1.68467,0.85083,0.897,0.90625,0.59123,1.20786,0.93485,1.7753,0.00089141,0.00089141,0.00089141
78,16183,1.23235,1.17179,1.70219,0.9644,0.9682,0.9869,0.70238,1.00391,0.68916,1.62687,0.000884337,0.000884337,0.000884337
79,16365.9,1.24241,1.1183,1.72457,0.7722,0.84043,0.88116,0.57884,1.21202,1.04518,1.75913,0.000877263,0.000877263,0.000877263
80,16539.4,1.20639,1.15529,1.69249,0.92208,0.87741,0.97234,0.66666,1.08219,0.80112,1.66495,0.00087019,0.00087019,0.00087019
81,16691.6,1.19377,1.11674,1.67724,0.94703,0.95269,0.98783,0.65873,1.15189,0.73831,1.66172,0.000863116,0.000863116,0.000863116
82,16838.3,1.22754,1.16148,1.68797,0.879,0.92843,0.96694,0.63616,1.15731,0.81032,1.75672,0.000856042,0.000856042,0.000856042
83,16978.7,1.17201,1.11626,1.65733,0.88098,0.88477,0.92824,0.6186,1.15542,0.91352,1.75799,0.000848969,0.000848969,0.000848969
84,17115.4,1.17614,1.02815,1.66283,0.71368,0.62367,0.70404,0.38668,1.6209,1.58946,2.19777,0.000841895,0.000841895,0.000841895
85,17274,1.25577,1.14226,1.72056,0.92681,0.91376,0.97776,0.65679,1.12427,0.74113,1.67813,0.000834822,0.000834822,0.000834822
86,17450,1.22536,1.14219,1.68571,0.88202,0.86279,0.93064,0.6274,1.09884,0.85988,1.66503,0.000827748,0.000827748,0.000827748
87,17633.5,1.16688,1.09372,1.64113,0.95097,0.96434,0.98535,0.70927,0.98153,0.66354,1.57676,0.000820675,0.000820675,0.000820675
88,17834.8,1.17091,1.06529,1.65131,0.94926,0.94489,0.97906,0.70662,0.97662,0.69597,1.57903,0.000813601,0.000813601,0.000813601
89,18035.2,1.19826,1.10408,1.68043,0.9615,0.96217,0.97752,0.71119,0.96478,0.65344,1.58377,0.000806528,0.000806528,0.000806528
90,18235.7,1.19608,1.12876,1.67141,0.94615,0.94974,0.97804,0.70573,0.98318,0.68037,1.57287,0.000799454,0.000799454,0.000799454
91,18434.6,1.15939,1.05323,1.64129,0.94102,0.91441,0.97468,0.68973,0.99027,0.69786,1.61275,0.00079238,0.00079238,0.00079238
92,18635.3,1.14417,1.07079,1.60966,0.98351,0.94994,0.99267,0.72123,0.96487,0.61991,1.58474,0.000785307,0.000785307,0.000785307
93,18833.4,1.16167,1.03358,1.62727,0.82338,0.76556,0.88173,0.52092,1.42307,1.14873,1.95834,0.000778233,0.000778233,0.000778233
94,19045.8,1.15565,1.06698,1.62525,0.95417,0.96319,0.98202,0.69919,0.99369,0.64095,1.5783,0.00077116,0.00077116,0.00077116
95,19242.5,1.17073,0.9965,1.63387,0.955,0.96607,0.98771,0.68206,1.06678,0.67361,1.65631,0.000764086,0.000764086,0.000764086
96,19437.7,1.16067,1.01958,1.61546,0.95798,0.95708,0.98954,0.7129,0.97629,0.62789,1.5797,0.000757013,0.000757013,0.000757013
97,19633.1,1.17764,1.00388,1.65749,0.9834,0.96122,0.98916,0.71415,0.96421,0.62593,1.56627,0.000749939,0.000749939,0.000749939
98,19830.3,1.15627,1.03035,1.66104,0.94264,0.93168,0.98358,0.68144,1.06958,0.71199,1.6013,0.000742866,0.000742866,0.000742866
99,20013.1,1.16757,1.04881,1.64837,0.95124,0.91929,0.98694,0.67344,1.07433,0.67158,1.65818,0.000735792,0.000735792,0.000735792
100,20157.5,1.13974,1.0004,1.62229,0.95711,0.97234,0.99288,0.71383,0.97365,0.62357,1.59256,0.000728719,0.000728719,0.000728719
101,20293.7,1.18003,1.02971,1.63744,0.95807,0.92263,0.98412,0.69864,1.01532,0.68011,1.56343,0.000721645,0.000721645,0.000721645
102,20440.5,1.09419,0.97961,1.58949,0.97853,0.96609,0.98915,0.7319,0.92012,0.60678,1.49915,0.000714571,0.000714571,0.000714571
103,20571.5,1.11402,0.97822,1.60666,0.95904,0.95765,0.99064,0.74031,0.89079,0.60028,1.50307,0.000707498,0.000707498,0.000707498
104,20717.9,1.12985,1.00366,1.6107,0.9829,0.98506,0.99434,0.75179,0.90306,0.59524,1.4914,0.000700424,0.000700424,0.000700424
105,20853.6,1.1169,1.00184,1.60522,0.97266,0.97541,0.99127,0.74138,0.91179,0.57022,1.53661,0.000693351,0.000693351,0.000693351
106,20994.6,1.14506,1.00062,1.61336,0.88583,0.75737,0.88785,0.55084,1.28637,1.10718,1.92236,0.000686277,0.000686277,0.000686277
107,21142.1,1.13707,0.98047,1.60959,0.95855,0.96391,0.98981,0.72606,0.95334,0.61205,1.56975,0.000679204,0.000679204,0.000679204
108,21273.9,1.14059,0.98059,1.63502,0.95957,0.94636,0.9854,0.67917,1.07324,0.67254,1.62312,0.00067213,0.00067213,0.00067213
109,21421.8,1.09674,0.9798,1.5893,0.96867,0.95951,0.99256,0.72978,0.91689,0.63496,1.49964,0.000665057,0.000665057,0.000665057
110,21558.1,1.07295,0.97313,1.55417,0.91715,0.908,0.97564,0.69201,1.02546,0.71734,1.58774,0.000657983,0.000657983,0.000657983
111,21705.8,1.11719,0.96796,1.59234,0.98235,0.97515,0.99394,0.75079,0.87571,0.5624,1.48066,0.000650909,0.000650909,0.000650909
112,21841.4,1.08784,0.96824,1.58362,0.97902,0.98051,0.99003,0.7261,0.91191,0.57403,1.4974,0.000643836,0.000643836,0.000643836
113,21990.5,1.07007,0.9057,1.56354,0.96988,0.97894,0.99288,0.75055,0.8812,0.55883,1.4617,0.000636762,0.000636762,0.000636762
114,22128.8,1.11215,0.97712,1.58045,0.97887,0.97529,0.98608,0.72557,0.92204,0.5975,1.52468,0.000629689,0.000629689,0.000629689
115,22272.1,1.1007,0.96617,1.58446,0.94907,0.94485,0.98603,0.72219,0.95022,0.60474,1.50586,0.000622615,0.000622615,0.000622615
116,22414.5,1.08333,0.96092,1.57233,0.97802,0.98744,0.99368,0.76657,0.84079,0.5584,1.42963,0.000615542,0.000615542,0.000615542
117,22555.3,1.08924,0.92035,1.57442,0.97969,0.97543,0.99243,0.71829,0.90151,0.56959,1.52185,0.000608468,0.000608468,0.000608468
